Year,First Night,Second Night,Time difference (hours),,,,,,,,,,,
2016,May 11th,May 12th,-,,,,Year,First Night,Second Night,Time difference (hours),Year,First Night,Second Night,Time difference (hours)
,jcf0057500592,jcf0000100008,20.35,,,,2016,May 11th,May 12th,-,2022,Jan 14th,Jan 15th,-
,jcf0057500592,jcf0009900116,20.73,,,,,jcf0057500592,jcf0000100008,20.35,,jc713732,jc090091,20.02
,jcf0057500592,jcf0003100048,20.51,,,,,jcf0057500592,jcf0009900116,20.73,,Apr 8th,Apr 9th,-
,jcf0072300740,jcf0000100008,19.21,,,,,jcf0057500592,jcf0003100048,20.51,,jc049050,jc10291032,29.63
,jcf0072300740,jcf0009900116,19.58,,,,,jcf0072300740,jcf0000100008,19.21,,jc371372,jc043076,20.65
,jcf0072300740,jcf0017700194,20.66,,,,,jcf0072300740,jcf0009900116,19.58,,jc601602,jc043076,19.44
,jcf0072300740,jcf0003100048,19.36,,,,,jcf0072300740,jcf0017700194,20.66,,jc601602,jc233256,20.52
,jcf0053300544,jcf0000100008,20.48,,,,,jcf0072300740,jcf0003100048,19.36,,jc491506,jc043076,19.74
,jcf0053300544,jcf0003100048,20.64,,,,,jcf0053300544,jcf0000100008,20.48,,jc491506,jc233256,20.81
,November 1st,November 2nd,-,,,,,jcf0053300544,jcf0003100048,20.64,,May 21st,May 22nd,-
,jcf0022700356,jcf0000100014,20.06,,,,,November 1st,November 2nd,-,,jc371397,jc301326,20.43
,jcf0022700356,jcf0003700060,20.27,,,,,jcf0022700356,jcf0000100014,20.06,,July 8th,July 9th,-
2017,May 19th,May 20th,-,,,,,jcf0022700356,jcf0003700060,20.27,,jc634661,jc031066,18.92
,jcf161195,jcf031065,19.73,,,,2017,May 19th,May 20th,-,,jc031064,jc10191086,29.64
,jcf161195,jcf149181,20.15,,,,,jcf161195,jcf031065,19.73,,jc031064,jc895930,29.13
,jcf031065,jcf031065,20.32,,,,,jcf161195,jcf149181,20.15,,Aug 17th,Aug 18th,-
,jcf031065,jcf149181,20.74,,,,,jcf031065,jcf031065,20.32,,jc549580,jc265296,20.53
,jcf343377,jcf149181,19.25,,,,,jcf031065,jcf149181,20.74,,jc549580,jc037056,19.19
,July 10th,July 11th,-,,,,,jcf343377,jcf149181,19.25,2023,May 16th,May 17th,-
,jcf0011900121,jcf0031300328,19.06,,,,,July 10th,July 11th,-,,jc786797,jc011012,20.07
,jcf0011900121,jcf0061300628,19.93,,,,,jcf0011900121,jcf0031300328,19.06,,jc786797,jc089118,20.22
,jcf0011900121,jcf0078100784,20.46,,,,,jcf0011900121,jcf0061300628,19.93,,jc786797,jc347414,20.76
,jcf0011900121,jcf0056700568,19.82,,,,,jcf0011900121,jcf0078100784,20.46,,jc031054,jc19792030,29.88
,jcf0011900121,jcf08230828,20.57,,,,,jcf0011900121,jcf0056700568,19.82,,jc031054,jc17371764,29.48
,jcf0011900121,jcf0082300841,20.57,,,,,jcf0011900121,jcf08230828,20.57,,jc031054,jc19191920,29.75
2018,July 20th,July 21st,-,,,,,jcf0011900121,jcf0082300841,20.57,,jc031054,jc16591674,29.1
,jcf0129101339,jcf0017500209,19.73,,,,2018,July 20th,July 21st,-,,jc031054,jc18111876,29.63
,jcf0129101339,jcf0000100018,19.17,,,,,jcf0129101339,jcf0017500209,19.73,,jc786793,jc011012,20.08
,jcf0129101339,jcf0004900083,19.32,,,,,jcf0129101339,jcf0000100018,19.17,,jc786793,jc089118,20.22
,jcf0137501379,jcf0017500209,19.6,,,,,jcf0129101339,jcf0004900083,19.32,,jc786793,jc347414,20.76
,jcf0137501379,jcf0000100018,19.04,,,,,jcf0137501379,jcf0017500209,19.6,,June 23rd,June 24th,-
